filename,nomi_name,prompt,nsfw,style
Nomi_1_001.png,Nomi 1,"1girl, solo, (face_only:1.3), close-up_portrait, headshot, Aethel, long_hair, (vibrant_red_hair:1.4), straight_hair, (white_latex_jumpsuit:1.2), (cleavage:1.1), thin_eyebrows, (dark_red_lips:1.3), (pearly_white_makeup:1.2), natural_makeup, looking_at_viewer, (photorealistic:1.4), cinematic_lighting, soft_rim_light, highly_detailed_skin, sharp_focus.",false,Realistic
Nomi_1_002.png,Nomi 1,"full_body, 1girl, standing, (red_carpet:1.3), (glamorous_event:1.2), (elaborate_evening_gown:1.4), fitted_dress, floral_embroidery, beadwork, (ruffled_train:1.3), long_hair, voluminous_waves, (dramatic_spotlight:1.4), cinematic_lighting, (red-carpet_makeup:1.1), glossy_lips, looking_at_viewer, confident_pose, high_heels, jewelry, masterpiece, highly_detailed, photorealistic, (8k_resolution:1.2), luxury_atmosphere.",false,Realistic
Nomi_5_002.png,Nomi 5,"woman with long, straight, center-parted hair cascading smoothly past her shoulders, glossy and silky with soft natural waves at the ends, framing her face elegantly. She stands in a confident three-quarter pose, body slightly turned to her left, head tilted subtly toward the camera, direct intense gaze at viewer. Strapless black ruched satin dress, bare shoulders and collarbones visible, soft studio lighting, neutral gray background, top body portrait, film photography",false,Realistic
Nomi_5_003.png,Nomi 5,"woman stands in a confident three-quarter pose, body slightly turned to her left, head tilted subtly toward the camera, direct intense gaze at viewer. Strapless black ruched satin dress, bare shoulders and collarbones visible, soft studio lighting, neutral grey background, top body portrait, film photography, ultra realistic, 8K",false,Realistic
Nomi_2_001.webp,Nomi 2,"wearing white tube top, front facing, face portrait",false,Realistic
Nomi_2_002.webp,Nomi 2,"wearing white tube top, front facing, face portrait",false,Realistic
Nomi_3_001.webp,Nomi 3,"woman has petite body with large breasts, black tied sleek and tight, high bun hairstyle,, wearing black lacy bra. Face only portrait",true,Realistic
Nomi_3_002.webp,Nomi 3,"woman has petite body with large breasts, black tied sleek and tight, high bun hairstyle,, wearing black lacy bra. Face only portrait",true,Realistic
Nomi_4_001.webp,Nomi 4,"wearing white tee shirt, front facing, face only portrait",false,Realistic
Nomi_4_002.webp,Nomi 4,"1woman, solo, red_qipao_inspired_sportswear, red_jacket, white_tennis_skirt, athletic_pose, vibrant, (nomiverse_lens:1.3), traditional_chinese_new_year_interior, (opulent_palace_hall:1.2), red_folding_screens, (floral_brocade_patterns:1.4), blooming_peony, gold_tiger_motif, auspicious_clouds, emerald_green_accents, cinematic_lighting, festive_atmosphere, (rich_crimson_tones:1.5), high_resolution, cultural_aesthetic, detailed_texture, masterpiece.",false,Realistic
Nomi_4_003.webp,Nomi 4,"wearing white tee shirt, front facing, face only portrait",false,Realistic
